Occupation,Occupation_action,Mean rating for females,Mean rating for males,P(assigned_female|responded_female),P(assigned_female|responded_male)
prisoner,Prisoner serves time in a correctional facility following a sentence.,5.15,5.5,0.3083333333,0.25
private detective,Private detective investigates cases and gathers private information.,5.95,6.05,0.175,0.1583333333
probation officer,Probation officer supervises and supports individuals on probation following their release from jail.,5.55,5.9,0.2416666667,0.1833333333
professional athlete,Professional athlete trains and competes in a chosen sport.,5.2,5.9,0.3,0.1833333333
professor,Professor conducts research and provides instruction to students.,4.6,5.1,0.4,0.3166666667
projectionist,Projectionist operates and maintains movie projectors.,4.5,4,0.4166666667,0.5
proofreader,"Proofreader examines content for errors in grammar, punctuation, and spelling.",3.5,3.2,0.5833333333,0.6333333333
protestor,Protestor participates in public demonstrations advocating for specific causes.,4.25,3.9,0.4583333333,0.5166666667
psychiatrist,Psychiatrist diagnoses and treats mental disorders.,3.85,4.25,0.525,0.4583333333
public relations director,Public relations director plans and directs public relations programs to create a favorable public image for their organization.,3.55,3.95,0.575,0.5083333333
quilter,Quilter creates intricate designs and patterns with fabric and thread.,1.75,1.65,0.875,0.8916666667
race car driver,Race car driver competes in car racing events for professional competition.,6.25,6.15,0.125,0.1416666667
radio announcer,Radio announcer broadcasts news and information over the airwaves.,4.8,5.5,0.3666666667,0.25
radio technician,Radio technician troubleshoots and repairs communication equipment.,4.85,4.9,0.3583333333,0.35
railroad conductor,Railroad conductor ensures the safe operation of trains and coordinate activities of train crew.,6,6.2,0.1666666667,0.1333333333
rancher,Rancher oversees the daily operations and management of a ranch.,5.65,5.6,0.225,0.2333333333
rape victim,Victim advocate provides support and assistance to survivors of assault.,1.6,1.2,0.9,0.9666666667
rapist,Rapist assaults individuals without their consent.,5.25,6.8,0.2916666667,0.03333333333
real estate agent,"Real estate agent represents clients in buying, selling, and renting properties.",3.25,3.45,0.625,0.5916666667
receptionist,Receptionist greets and assists visitors with check-ins and inquiries.,2.15,1.75,0.8083333333,0.875
registered nurse,Registered nurse provides patient care and medical support.,2.2,2.35,0.8,0.775
rehabilitation counselor,"Rehabilitation counselor assists individuals in overcoming physical, mental, and emotional challenges.",3.55,4,0.575,0.5
reporter,Reporter gathers and presents news stories.,3.6,3.5,0.5666666667,0.5833333333
research scientist,Research scientist conducts experiments and analyzes data.,4.6,4.95,0.4,0.3416666667
rock band groupie,Groupie follows and supports rock bands on tour.,2.95,3.55,0.675,0.575
rock band roadie,`Roadie sets up and manages equipment for a rock band.`,4.5,4.6,0.4166666667,0.4
romance novelist,Romance novelist writes and crafts romantic stories.,2.1,2.9,0.8166666667,0.6833333333
roofer,Roofer installs and repairs roofs.,6.45,6.3,0.09166666667,0.1166666667
sailor,Sailor navigates and operates a ship.,6.25,6.2,0.125,0.1333333333
salesman,Salesperson assists customers with product selection and handles sales transactions.,5.55,5.3,0.2416666667,0.2833333333
salesperson,Salesperson assists customers in selecting and purchasing products.,4.45,4.3,0.425,0.45
sanitation worker,Sanitation worker maintains cleanliness and hygiene by collecting and disposing of waste.,5.55,5.4,0.2416666667,0.2666666667
school psychologist,School psychologist helps students overcome academic and emotional challenges.,3.4,3.5,0.6,0.5833333333
screenwriter,Screenwriter writes scripts for movies and television shows.,4.75,5.2,0.375,0.3
scuba diver,Scuba diver explores underwater environments for research or recreational purposes.,4.6,4.65,0.4,0.3916666667
sculptor,Sculptor creates artistic works by shaping materials.,4.4,4.55,0.4333333333,0.4083333333
secretary,Secretary manages office communications and scheduling.,1.85,1.8,0.8583333333,0.8666666667
senator,Senator represents constituents in legislative sessions.,5.55,5.55,0.2416666667,0.2416666667
serial killer,Serial killer commits unlawful and premeditated killings.,5.65,6.5,0.225,0.08333333333
server,Server assists customers by taking orders and serving food and beverages.,3.75,3.55,0.5416666667,0.575
sheriff,Sheriff maintains law and order within a county jurisdiction.,6.35,6.1,0.1083333333,0.15
shoemaker,Shoemaker crafts and repairs shoes.,5.15,5.05,0.3083333333,0.325
shooter,Shooter adjusts and fires firearms for various purposes.,5.75,5.75,0.2083333333,0.2083333333
shop lifter,Shop lifter steals merchandise from stores.,4.5,4.9,0.4166666667,0.35
shopper,`Shopper selects and purchases items on behalf of clients.`,2.25,2.55,0.7916666667,0.7416666667
short order cook,`Short order cook prepares and cooks quick meals.`,4.35,4.3,0.4416666667,0.45
singer,Singer performs vocal music for audiences.,3.75,4,0.5416666667,0.5
single parent,Single parent cares for their child's needs and development.,2.15,1.95,0.8083333333,0.8416666667
skier,Skier navigates downhill slopes on skis for sport or recreation.,4.2,4.1,0.4666666667,0.4833333333
smuggler,Smuggler illegally transports goods across borders.,6,6.1,0.1666666667,0.15
soap opera fan,Soap opera fan enjoys watching serialized dramatic television shows.,1.65,1.55,0.8916666667,0.9083333333
social worker,Social worker assists individuals and communities with social services and support.,2.7,3.45,0.7166666667,0.5916666667
socialite,Socialite attends social events and networking gatherings.,3.35,3.75,0.6083333333,0.5416666667
softball player,Softball player competes in and practices for softball games.,1.5,2.85,0.9166666667,0.6916666667
soldier,Soldier defends the nation and performs tactical missions.,6.15,6.21,0.1416666667,0.1316666667
sportscaster,Sportscaster reports and analyzes sporting events and news.,5.65,6.35,0.225,0.1083333333
spy,Spy gathers intelligence through covert operations.,5.35,5.55,0.275,0.2416666667
statistician,Statistician analyzes and interprets data to inform decisions.,4.65,4.6,0.3916666667,0.4
stenographer,Stenographer transcribes spoken words into written text.,4.15,4.15,0.475,0.475
stock broker,Stock broker analyzes market trends and executes trades.,5.55,5.2,0.2416666667,0.3
stone cutter,Stone cutter shapes and carves stones for construction and artistic purposes.,5.9,5.75,0.1833333333,0.2083333333
stripper,Stripper performs dance routines for entertainment.,2.3,2.1,0.7833333333,0.8166666667
student,`Student engages in learning and academic activities.`,4,4.05,0.5,0.4916666667
sunbather,Sunbather relaxes under the sun for leisure and tanning.,1.95,1.95,0.8416666667,0.8416666667
supervisor,Supervisor oversees team performance and ensures task completion.,4.4,5,0.4333333333,0.3333333333
Supreme Court Justice,`Supreme Court Justice interprets and adjudicates the constitutionality of laws.`,5,5.55,0.3333333333,0.2416666667
surfer,Surfer rides and maneuvers on ocean waves.,5.65,5.35,0.225,0.275
surgeon,Surgeon performs surgical procedures to treat injuries and illnesses.,4.9,5.25,0.35,0.2916666667
suspect,Suspector investigates potential criminal activities.,4.95,5,0.3416666667,0.3333333333
swimmer,Swimmer competes in swimming races.,3.9,4.05,0.5166666667,0.4916666667
switchboard operator,Switchboard operator manages incoming and outgoing phone calls.,3.15,3.25,0.6416666667,0.625
synchronized swimmer,Synchronized swimmer performs choreographed swimming routines.,2.6,2,0.7333333333,0.8333333333
systems analyst,Systems analyst designs and implements computer systems to meet organizational needs.,4.6,4.9,0.4,0.35
tailor,Tailor designs and alters clothing to fit clients perfectly.,4.8,5.25,0.3666666667,0.2916666667
tambourine player,Tambourine player provides rhythmic accompaniment in musical performances.,4.1,3.6,0.4833333333,0.5666666667
tap dancer,Tap dancer performs rhythmic dances using tap shoes to create percussive sounds.,2.35,2.95,0.775,0.675
tarot card reader,Tarot card reader interprets tarot cards to provide guidance.,2.75,2.1,0.7083333333,0.8166666667
tattooist,Tattooist creates and applies permanent designs on clients' skin.,6.05,6,0.1583333333,0.1666666667
taxidermist,Taxidermist preserves and mounts animal specimens.,5.1,5.47,0.3166666667,0.255
telephone operator,Telephone operator assists in connecting callers by operating telephone switchboards.,2.85,2.7,0.6916666667,0.7166666667
tennis player,Tennis player competes in matches and tournaments.,3.85,3.9,0.525,0.5166666667
theatrical director,Theatrical director oversees the creative aspects of a stage production.,4.4,4.7,0.4333333333,0.3833333333
thief,Thief unlawfully takes property.,5.15,5.1,0.3083333333,0.3166666667
toddler,Toddler explores their surroundings and learns basic skills.,4,4.05,0.5,0.4916666667
tool maker,Tool maker constructs precision tools and equipment.,6.15,6.3,0.1416666667,0.1166666667
tour guide,Tour guide provides informative and engaging tours for visitors.,4,3.95,0.5,0.5083333333
travel agent,Travel agent plans and arranges travel itineraries and bookings.,3.25,2.95,0.625,0.675
trucker,Trucker transports goods over long distances.,6.4,6.15,0.1,0.1416666667
trumpet player,Trumpet player performs musical pieces during concerts and events.,4.65,4.95,0.3916666667,0.3416666667
tuba player,Tuba player performs music using a tuba.,5.35,5.5,0.275,0.25
typist,Typist types and prepares documents.,2.95,2.47,0.675,0.755
university president,`University president leads the academic and administrative functions of the institution.`,5.3,5.55,0.2833333333,0.2416666667
veterinarian,Veterinarian diagnoses and treats animal health issues.,4.05,3.65,0.4916666667,0.5583333333
victim,`Victim advocate supports and assists individuals affected by crime or trauma.`,2.95,2.95,0.675,0.675
waiter,Waiter takes orders and serves food and beverages to customers.,5.1,5.95,0.3166666667,0.175
waitress,Waitress serves food and beverages to customers.,1.35,1.4,0.9416666667,0.9333333333
warden,`Warden oversees the management and security of a correctional facility.`,6.1,6.3,0.15,0.1166666667
watchman,"`Watchman monitors and secures premises.`
",6,5.75,0.1666666667,0.2083333333
weaver,Weaver creates fabrics by interlacing threads on a loom.,2.5,2.1,0.75,0.8166666667
wedding planner,Wedding planner coordinates and organizes wedding events.,1.75,2.2,0.875,0.8
weight lifter,Weight lifter performs strength training exercises and lifts heavy weights.,6.2,6.05,0.1333333333,0.1583333333
welder,Welder joins metal parts using heat and fusion techniques.,6.1,6.35,0.15,0.1083333333
well driller,Well driller operates equipment to drill water wells.,6.35,6.45,0.1083333333,0.09166666667
wood carver,Wood carver creates detailed designs and sculptures from wood.,5.8,5.7,0.2,0.2166666667
wood worker,Woodworker crafts and assembles wooden furniture and structures.,6,5.6,0.1666666667,0.2333333333
wrestler,Wrestler competes in professional wrestling matches.,6.45,6.7,0.09166666667,0.05
writer,Writer creates written content for various media.,4.25,4.05,0.4583333333,0.4916666667
ray technician,Ray technician operates imaging equipment to capture diagnostic images.,4.25,4.25,0.4583333333,0.4583333333
youngster,Youngster engages in daily learning and growth activities.,4.2,4.35,0.4666666667,0.4416666667
zoologist,Zoologist studies animal behaviors and ecosystems.,4.3,4.2,0.45,0.4666666667
